respID,qID,altID,obsID,profileID,price,tripTime,waitTime,SharedRide,HumanPresent
1,1,1,1,46,3,20,9,No,Yes
1,1,2,1,37,3,20,7,No,Yes
1,1,3,1,15,7,25,7,Yes,Yes
1,1,4,1,12,7,20,7,Yes,Yes
1,1,5,1,33,7,25,5,No,Yes
1,2,1,2,89,5,30,5,No,No
1,2,2,2,1,3,20,5,Yes,Yes
1,2,3,2,52,3,30,9,No,Yes
1,2,4,2,92,5,20,7,No,No
1,2,5,2,34,3,30,5,No,Yes
1,3,1,3,37,3,20,7,No,Yes
1,3,2,3,92,5,20,7,No,No
1,3,3,3,41,5,25,7,No,Yes
1,3,4,3,48,7,20,9,No,Yes
1,3,5,3,24,7,25,9,Yes,Yes
1,4,1,4,105,7,25,9,No,No
1,4,2,4,28,3,20,5,No,Yes
1,4,3,4,38,5,20,7,No,Yes
1,4,4,4,40,3,25,7,No,Yes
1,4,5,4,58,3,25,5,Yes,No
1,5,1,5,26,5,30,9,Yes,Yes
1,5,2,5,37,3,20,7,No,Yes
1,5,3,5,102,7,20,9,No,No
1,5,4,5,43,3,30,7,No,Yes
1,5,5,5,73,3,20,9,Yes,No
1,6,1,6,59,5,25,5,Yes,No
1,6,2,6,103,3,25,9,No,No
1,6,3,6,6,7,25,5,Yes,Yes
1,6,4,6,106,3,30,9,No,No
1,6,5,6,82,3,20,5,No,No
1,7,1,7,93,7,20,7,No,No
1,7,2,7,53,5,30,9,No,Yes
1,7,3,7,74,5,20,9,Yes,No
1,7,4,7,25,3,30,9,Yes,Yes
1,7,5,7,76,3,25,9,Yes,No
1,8,1,8,67,3,25,7,Yes,No
1,8,2,8,22,3,25,9,Yes,Yes
1,8,3,8,24,7,25,9,Yes,Yes
1,8,4,8,34,3,30,5,No,Yes
1,8,5,8,49,3,25,9,No,Yes
2,1,1,9,78,7,25,9,Yes,No
2,1,2,9,68,5,25,7,Yes,No
2,1,3,9,100,3,20,9,No,No
2,1,4,9,9,7,30,5,Yes,Yes
2,1,5,9,48,7,20,9,No,Yes
2,2,1,10,105,7,25,9,No,No
2,2,2,10,23,5,25,9,Yes,Yes
2,2,3,10,24,7,25,9,Yes,Yes
2,2,4,10,92,5,20,7,No,No
2,2,5,10,84,7,20,5,No,No
2,3,1,11,55,3,20,5,Yes,No
2,3,2,11,108,7,30,9,No,No
2,3,3,11,97,3,30,7,No,No
2,3,4,11,9,7,30,5,Yes,Yes
2,3,5,11,89,5,30,5,No,No
2,4,1,12,59,5,25,5,Yes,No
2,4,2,12,86,5,25,5,No,No
2,4,3,12,75,7,20,9,Yes,No
2,4,4,12,66,7,20,7,Yes,No
2,4,5,12,77,5,25,9,Yes,No
2,5,1,13,75,7,20,9,Yes,No
2,5,2,13,80,5,30,9,Yes,No
2,5,3,13,43,3,30,7,No,Yes
2,5,4,13,57,7,20,5,Yes,No
2,5,5,13,66,7,20,7,Yes,No
2,6,1,14,100,3,20,9,No,No
2,6,2,14,39,7,20,7,No,Yes
2,6,3,14,13,3,25,7,Yes,Yes
2,6,4,14,76,3,25,9,Yes,No
2,6,5,14,91,3,20,7,No,No
